Platform,Service_Title,Details,Price,Link,Image_Path
MahirCompany,Door Repairing,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/door-repairing,image3/mahir_81.jpg
MahirCompany,Carpenter Work,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/carpenter-work,image3/mahir_82.jpg
MahirCompany,Drawer Repairing,- Vary After Inspection,Rs:800,https://mahircompany.com/drawer-repairing,image3/mahir_83.jpg
MahirCompany,Furniture Repairing,- Visit & Inspection Charges,Rs:500,https://mahircompany.com/furniture-repairing,image3/mahir_84.jpg
MahirCompany,Room Door Lock installation,- Vary After inspection,Rs:1500,https://mahircompany.com/room-door-lock-installation,image3/mahir_85.jpg
MahirCompany,Drawer Lock installation,- Per Lock,Rs:800,https://mahircompany.com/drawer-lock-installation,image3/mahir_86.jpg
MahirCompany,Catcher Replacement,- Per Catcher,Rs:800,https://mahircompany.com/catcher-replacement,image3/mahir_87.jpg
MahirCompany,House Paint (outdoor),- Visit & Inspection Charges,Rs:800,https://mahircompany.com/house-paint-outdoor,image3/mahir_88.jpg
MahirCompany,House Paint (indoor),- Visit & Inspection Charges,Rs:800,https://mahircompany.com/house-paint-indoor,image3/mahir_89.jpg
MahirCompany,Furniture Polishing,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/furniture-polishing,image3/mahir_90.jpg
MahirCompany,Gray structure Paint,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/gray-structure-paint,image3/mahir_91.jpg
MahirCompany,Door Polish,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/door-polish,image3/mahir_92.jpg
MahirCompany,Tables Polish,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/tables-polish,image3/mahir_93.jpg
MahirCompany,Window Paint,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/window-paint,image3/mahir_94.jpg
MahirCompany,Wooden Door Paint,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/wooden-door-paint,image3/mahir_95.jpg
MahirCompany,Cooking Range Repairing,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/cooking-range-repairing-home-appliances-repair,image3/mahir_96.jpg
MahirCompany,Automatic Washing Machine Repairing,- Visit & Inspection Charges,Rs:1000,https://mahircompany.com/automatic-washing-machine-repairing-home-appliances-repair,image3/mahir_97.jpg
MahirCompany,Oven Range Services,- Per Oven Range,Rs:3000,https://mahircompany.com/oven-range-services-home-appliances-repair,image3/mahir_98.jpg
MahirCompany,Kitchen Hood Installation,- Visit and Inspection charges,Rs:1000,https://mahircompany.com/kitchen-hood-installation-home-appliances-repair,image3/mahir_99.jpg
MahirCompany,Kitchen Hood Repairing,- Visit and Inspection charges,Rs:1000,https://mahircompany.com/kitchen-hood-repairing-home-appliances-repair,image3/mahir_100.jpg
MahirCompany,Automatic Washing Machine General Service,- Top-Loaded ( Per Washing Machine ),Rs:5000,https://mahircompany.com/automatic-washing-machine-general-service-home-appliances-repair,image3/mahir_101.jpg
MahirCompany,General Fumigation,- Starting From,Rs:4500,https://mahircompany.com/general-fumigation,image3/mahir_102.jpg
MahirCompany,Cockroach Treatment,- Starting From,Rs:4500,https://mahircompany.com/cockroach-treatment,image3/mahir_103.jpg
MahirCompany,Bed Bugs Treatment,- Starting From,Rs:7500,https://mahircompany.com/bed-bugs-treatment,image3/mahir_104.jpg
MahirCompany,Dengue Spray,- Starting From,Rs:6000,https://mahircompany.com/dengue-spray,image3/mahir_105.jpg
MahirCompany,Disinfection Services,- Starting From,Rs:6000,https://mahircompany.com/disinfection-services,image3/mahir_106.jpg
MahirCompany,Sofa Cleaning,- Per Seat Included 18 x18 Inch Cushion,Rs:500,https://mahircompany.com/sofa-cleaning,image3/mahir_107.jpg
MahirCompany,7 Seater Sofa Set Cleaning,- Included 18 x18 Inch Cushion,Rs:3500,https://mahircompany.com/7-seater-sofa-set-cleaning-services,image3/mahir_108.jpg
MahirCompany,5 Seater Sofa Set Cleaning,- Included 18 x18 Inch Cushion,Rs:2500,https://mahircompany.com/5-seater-sofa-set-cleaning-services,image3/mahir_109.jpg
MahirCompany,6 Seater Sofa Set Cleaning,- Included 18 x18 Inch Cushion,Rs:3000,https://mahircompany.com/6-seater-sofa-set-cleaning-services,image3/mahir_110.jpg
MahirCompany,Dewan Cleaning,- Per Dewan,Rs:1500,https://mahircompany.com/dewan-cleaning,image3/mahir_111.jpg
MahirCompany,Sofa Cum Bed Cleaning,- Per Sofa Cum Bed,Rs:2400,https://mahircompany.com/sofa-cum-bed-cleaning,image3/mahir_112.jpg
MahirCompany,10 Seater Sofa Cleaning,- Included 18 x18 Inch Cushion,Rs:5000,https://mahircompany.com/10-seater-sofa-cleaning,image3/mahir_113.jpg
MahirCompany,Chair Cleaning - 4 Seats,- Discounted Price,Rs:1400,https://mahircompany.com/chair-cleaning-4-seats,image3/mahir_114.jpg
MahirCompany,Chair Cleaning - 6 Seats,- Discounted Price,Rs:2000,https://mahircompany.com/chair-cleaning-6-seats,image3/mahir_115.jpg
MahirCompany,Chair Cleaning - 8 Seats,- Discounted Price,Rs:4000,https://mahircompany.com/chair-cleaning-8-seats,image3/mahir_116.jpg
MahirCompany,Chair Cleaning - 10 Seats,- Discounted Price,Rs:4800,https://mahircompany.com/chair-cleaning-10-seats,image3/mahir_117.jpg
MahirCompany,Chair Cleaning - 12 Seats,- Discounted Price,Rs:5400,https://mahircompany.com/chair-cleaning-12-seats,image3/mahir_118.jpg
MahirCompany,Carpet Cleaning,- Per SQFT,Rs:36,https://mahircompany.com/carpet-cleaning,image3/mahir_119.jpg
MahirCompany,Rug Cleaning,- Per SQFT,Rs:44,https://mahircompany.com/rug-cleaning,image3/mahir_120.jpg
MahirCompany,Curtain Cleaning,- Per Curtain (8/6 & 8/8 Feet),Rs:1500,https://mahircompany.com/curtain-cleaning,image3/mahir_121.jpg
MahirCompany,Blind Cleaning,- Per Blind (8/6 & 8/8 Feet),Rs:1500,https://mahircompany.com/blind-cleaning,image3/mahir_122.jpg
MahirCompany,Single Mattress Cleaning,- Per Mattress,Rs:3100,https://mahircompany.com/single-mattress-cleaning,image3/mahir_123.jpg
MahirCompany,Double Mattress Cleaning,- Per Mattress,Rs:3700,https://mahircompany.com/double-mattress-cleaning,image3/mahir_124.jpg
MahirCompany,Plastic Water Tank Cleaning,- (150-300) Gallons,Rs:3000,https://mahircompany.com/plastic-water-tank-cleaning,image3/mahir_125.jpg
MahirCompany,Plastic Water Tank Cleaning,- (350-500) Gallons,Rs:3400,https://mahircompany.com/plastic-water-tank-cleaning-350-to-500-gallons,image3/mahir_126.jpg
MahirCompany,Plastic Water Tank Cleaning,- (550-1000) Gallons,Rs:3600,https://mahircompany.com/plastic-water-tank-cleaning-550-to-1000-gallons,image3/mahir_127.jpg
MahirCompany,Cement Tank Cleaning,- 3/5ft to 5/5ft,Rs:2500,https://mahircompany.com/cement-tank-cleaning,image3/mahir_128.jpg
MahirCompany,Cement Tank Cleaning,- 6/6ft to 8/8ft,Rs:3000,https://mahircompany.com/cement-tank-cleaning-6-to-8-ft,image3/mahir_129.jpg
MahirCompany,Cement Tank Cleaning,- 9/9ft to 12/12ft,Rs:5000,https://mahircompany.com/cement-tank-cleaning-9-to-10-ft,image3/mahir_130.jpg
MahirCompany,Full House Deep Cleaning 3 To 10 Marla,"- Book Survey, Visit & Survey Charges",Rs:500,https://mahircompany.com/full-house-deep-cleaning,image3/mahir_131.jpg
MahirCompany,Room Deep Cleaning 3 To 10 Marla,- Starting From,Rs:2500,https://mahircompany.com/room-deep-cleaning,image3/mahir_132.jpg
MahirCompany,Kitchen Deep Cleaning 3 To 10 Marla,- Starting From,Rs:4000,https://mahircompany.com/kitchen-deep-cleaning-services,image3/mahir_133.jpg
MahirCompany,Washroom Deep Cleaning 3 To 10 Marla,- Starting From,Rs:2800,https://mahircompany.com/washroom-deep-cleaning,image3/mahir_134.jpg
MahirCompany,Full House Deep Cleaning 11 Marla To 3 Kanal,"- Book Survey, Visit & Survey Charges",Rs:500,,image3/mahir_135.jpg
MahirCompany,Room Deep Cleaning 11 Marla To 3 Kanal,- Starting From,Rs:3200,,image3/mahir_136.jpg
MahirCompany,Kitchen Deep Cleaning 11 Marla To 3 Kanal,- Starting From,Rs:5000,,image3/mahir_137.jpg
MahirCompany,Washroom Deep Cleaning 10 Marla To 2 Kanal,- Starting From,Rs:3500,,image3/mahir_138.jpg
MahirCompany,Car Detailing Hatchback,"Seats removing and cleaning
Interior cleaning
Dash board polishing
Engine cleaning
Shampoo body wash
Compound polishing",Rs:10000,https://mahircompany.com/car-detailing-hatchback,image3/mahir_139.jpg
MahirCompany,Car Detailing Sedan,"Seats removing and cleaning
Interior cleaning
Dash board polishing
Engine cleaning
Shampoo body wash
Compound polishing",Rs:12000,https://mahircompany.com/car-detailing-sedan,image3/mahir_140.jpg
MahirCompany,Car Detailing Luxury Sedan,"Seats removing and cleaning
Interior cleaning
Dash board polishing
Engine cleaning
Shampoo body wash
Compound polishing",Rs:12000,https://mahircompany.com/car-detailing-luxury-sedan,image3/mahir_141.jpg
MahirCompany,Car Detailing Crossover,"Seats removing and cleaning
Interior cleaning
Dash board polishing
Engine cleaning
Shampoo body wash
Compound polishing",Rs:14000,https://mahircompany.com/car-detailing-crossover,image3/mahir_142.jpg
MahirCompany,Car Detailing SUV,"Seats removing and cleaning
Interior cleaning
Dash board polishing
Engine cleaning
Shampoo body wash
Compound polishing",Rs:15000,https://mahircompany.com/car-detailing-suv,image3/mahir_143.jpg
MahirCompany,Car Detailing Minivan,"Seats removing and cleaning
Interior cleaning
Dash board polishing
Engine cleaning
Shampoo body wash
Compound polishing",Rs:10000,https://mahircompany.com/car-detailing-minivan,image3/mahir_144.jpg
MahirCompany,Office Deep Cleaning,- Visit Charges,Rs:500,https://mahircompany.com/office-deep-cleaning,image3/mahir_145.jpg
MahirCompany,Restaurant Deep Cleaning,- Visit Charges,Rs:500,https://mahircompany.com/restaurant-deep-cleaning,image3/mahir_146.jpg
MahirCompany,Educational Institute Deep Cleaning,- Visit Charges,Rs:500,https://mahircompany.com/educational-institute-deep-cleaning,image3/mahir_147.jpg
MahirCompany,Hospital Deep Cleaning,- Visit Charges,Rs:500,https://mahircompany.com/hospital-deep-cleaning,image3/mahir_148.jpg
MahirCompany,Salon Deep Cleaning,- Visit Charges,Rs:500,https://mahircompany.com/salon-deep-cleaning,image3/mahir_149.jpg
MahirCompany,Solar Panel Cleaning Services,"Customer Responsibilities
Easy Access on Solar Panels Area
Ladder as per solar Hight
Water connection nearest to Panels
Electricity Connection nearest to Panels
Turnoff and On solar system while Cleaning",Rs:350,https://mahircompany.com/solar-panel-cleaning-3-to-6-kw-services,image3/mahir_150.jpg
MahirCompany,Solar Panel Cleaning Services,"Customer Responsibilities
Easy Access on Solar Panels Area
Ladder as per solar Hight
Water connection nearest to Panels
Electricity Connection nearest to Panels
Turnoff and On solar system while Cleaning",Rs:400,https://mahircompany.com/solar-panel-cleaning-7-to-18-kw-services,image3/mahir_151.jpg
MahirCompany,Solar Cleaning Services,"Customer Responsibilities
Easy Access on Solar Panels Area
Ladder as per solar Hight
Water connection nearest to Panels
Electricity Connection nearest to Panels
Turnoff and On solar system while Cleaning",Rs:320,https://mahircompany.com/solar-cleaning-services,image3/mahir_152.jpg
MahirCompany,Eye Makeup Without Lashes,- Signature Makeup,Rs:3000,https://mahircompany.com/eye-makeup-without-lashes,image3/mahir_153.jpg
MahirCompany,Party Makeup With Free Hairstyling and Lashes,- Signature Makeup,Rs:9000,https://mahircompany.com/party-makeup-with-free-hairstyling-and-lashes,image3/mahir_154.jpg
MahirCompany,Engagement Makeup with Free Hairstyling and Lashes,- Signature Makeup,Rs:11000,https://mahircompany.com/engagement-makeup-with-free-hairstyling-and-lashes,image3/mahir_155.jpg
MahirCompany,Nikkah Makeup with Free Hairstyling and Lashes,- Signature Makeup,Rs:14500,https://mahircompany.com/nikkah-makeup-with-free-hairstyling-and-lashes,image3/mahir_156.jpg
MahirCompany,Barat Makeup,- Signature Makeup,Rs:33000,https://mahircompany.com/barat-makeup,image3/mahir_157.jpg
MahirCompany,Walima Makeup,- Signature Makeup,Rs:29500,https://mahircompany.com/walima-makeup,image3/mahir_158.jpg
MahirCompany,Eye Makeup With Lashes,- Signature Makeup,Rs:3600,https://mahircompany.com/eye-makeup-with-lashes,image3/mahir_159.jpg
MahirCompany,Party Makeup with Hair Styling,- Signature Makeup,Rs:8000,https://mahircompany.com/party-makeup-with-hair-styling,image3/mahir_160.jpg
MahirCompany,Party Makeup,- Signature Makeup,Rs:6000,https://mahircompany.com/party-makeup,image3/mahir_161.jpg
MahirCompany,Hair Dye and Wash,- Without Color,Rs:1750,https://mahircompany.com/hair-dye-and-wash,image3/mahir_162.jpg
MahirCompany,Hair Protein Treatment,- Starting from,Rs:2500,https://mahircompany.com/hair-protein-treatment,image3/mahir_163.jpg
MahirCompany,Hair Dye Application,- Without Color,Rs:1800,https://mahircompany.com/hair-dye-application,image3/mahir_164.jpg
MahirCompany,Shoulder Length Keratin Treatment,- Fixed Price,Rs:10000,https://mahircompany.com/shoulder-length-keratin-treatment,image3/mahir_165.jpg
